n,avg_ms
100,0.001469
162,9.739999999999996E-4
263,7.609999999999994E-4
428,5.780000000000005E-4
695,5.450000000000005E-4
1128,4.290000000000001E-4
1832,5.100000000000005E-4
2976,4.3200000000000036E-4
4832,3.8900000000000024E-4
7847,4.150000000000004E-4
12742,4.360000000000001E-4
20691,0.0010140000000000008
33598,3.830000000000006E-4
54555,3.660000000000005E-4
88586,4.330000000000004E-4
143844,5.010000000000001E-4
233572,3.5200000000000015E-4
379269,3.8800000000000043E-4
615848,6.450000000000003E-4
1000000,4.2900000000000024E-4
